"ID","ENTITY_NAME__C","EXECUTED_PRODUCT_NAME__C","APPROVE_ACTION_PLAN__C","EXECUTION_TRACKER_PRODUCT__C"
"a0l200000061JmtAAE","0012000000iC7HtAAK","IDFC Premier Equity G [Folio:1350332/15]","a312000000012oYAAQ",""
"a0l200000061JmuAAE","0012000000iC7HtAAK","IDFC Premier Equity G [Folio:1350332/15]","a312000000012oYAAQ",""
"a0l200000061JmwAAE","0012000000iC7HtAAK","HDFC Cash Management Treasury Advantage D [Folio:8009670/24]","a312000000012oaAAA",""
"a0lw0000008scvXAAQ","0012000000pcDtLAAU","AXIS Treasury Advantage","a31200000001nkXAAQ",""
"a0lw0000008scvuAAA","0012000000pcDtLAAU","HDFC Cash Management Treasury","a31200000001nkEAAQ",""
"a0lw0000008scvwAAA","0012000000pcDtLAAU","DSP BR Equity","a31200000001nkCAAQ",""
"a0lw0000008scvyAAA","0012000000pcDtLAAU","ICICI Pru Focussed Blue Chip Fund","a31200000001nkBAAQ",""
"a0lw0000008scvzAAA","0012000000pcDtLAAU","BSL Savings","a31200000001nkAAAQ",""
"a0lw0000008scw0AAA","0012000000pcDtLAAU","DSP Br Money Manager","a31200000001nk9AAA",""
"a0lw0000008scw1AAA","0012000000pcDtLAAU","ICICI Pru Discovery","a31200000001nk8AAA",""
"a0lw0000008scw2AAA","0012000000pcDtLAAU","Birla SL Dynamic Bond Fund","a31200000001nk7AAA",""
"a0lw0000008scw4AAA","0012000000pcDtLAAU","Birla SL Dynamic Bond Fund","a31200000001nk5AAA",""
"a0lw0000008scwcAAA","0012000000pcDtLAAU","Birla SL Dynamic Bond Fund","a31200000001njXAAQ",""
"a0lw0000008scwdAAA","0012000000pcDtLAAU","DSP Money Manager","a31200000001njWAAQ",""
"a0lw0000008scweAAA","0012000000pcDtLAAU","Birla SL Savings","a31200000001njVAAQ",""
"a0lw0000008scwgAAA","0012000000pcDtLAAU","Pramerica Ultra Short Term","a31200000001njTAAQ",""
"a0lw0000008scwhAAA","0012000000pcDtLAAU","Birla SL Savings","a31200000001njSAAQ",""
"a0lw0000008scwiAAA","0012000000pcDtLAAU","DSP Money Manager","a31200000001njRAAQ",""
"a0lw0000008scwlAAA","0012000000pcDtLAAU","Reliance Money Manager","a31200000001njOAAQ",""
"a0lw0000008scwmAAA","0012000000pcDtLAAU","Birla SL Dynamic Bond Fund","a31200000001njNAAQ",""
"a0lw0000008scvZAAQ","0012000000pcDtLAAU","ICICI Pru Flexi Income","a31200000001nkVAAQ",""
"a0lw0000008scvaAAA","0012000000pcDtLAAU","Birla SL Dynamic Bond Fund","a31200000001nkUAAQ",""
